Nodes
0,"119-2",717.0,15.0
1,"15-119",93.0,717.0
2,"5-5",33.0,33.0
3,"6-35",39.0,213.0
4,"142-138",855.0,831.0
5,"76-8",459.0,51.0
6,"84-64",507.0,387.0
7,"61-65",369.0,393.0
8,"154-2",927.0,15.0
9,"30-96",183.0,579.0
10,"110-159",663.0,957.0
11,"110-90",663.0,543.0
12,"140-132",843.0,795.0
13,"121-136",729.0,819.0
14,"60-30",363.0,183.0
15,"55-37",333.0,225.0
16,"85-158",513.0,951.0
17,"10-19",63.0,117.0
18,"88-117",531.0,705.0
19,"46-108",279.0,651.0
20,"111-79",669.0,477.0
21,"19-58",117.0,351.0
22,"64-74",387.0,447.0
23,"131-87",789.0,525.0
24,"7-58",45.0,351.0
25,"52-110",315.0,663.0
26,"77-3",465.0,21.0
27,"139-59",837.0,357.0
28,"65-157",393.0,945.0
29,"85-62",513.0,375.0
30,"67-144",405.0,867.0
31,"151-112",909.0,675.0
32,"164-21",987.0,129.0
33,"111-104",669.0,627.0
34,"36-128",219.0,771.0
35,"147-76",885.0,459.0
36,"55-132",333.0,795.0
37,"82-60",495.0,363.0
38,"2-6",15.0,39.0
39,"77-60",465.0,363.0
40,"110-16",663.0,99.0
41,"119-163",717.0,981.0
42,"59-102",357.0,615.0
43,"49-115",297.0,693.0
44,"45-24",273.0,147.0
45,"86-146",519.0,879.0
46,"76-101",459.0,609.0
47,"145-25",873.0,153.0
48,"7-77",45.0,465.0
49,"128-28",771.0,171.0
50,"23-67",141.0,405.0
51,"108-132",651.0,795.0
52,"73-144",441.0,867.0
53,"38-80",231.0,483.0
54,"4-163",27.0,981.0
55,"145-58",873.0,351.0
56,"88-25",531.0,153.0
57,"158-20",951.0,123.0
58,"55-45",333.0,273.0
59,"133-166",801.0,999.0
60,"30-148",183.0,891.0
61,"118-39",711.0,237.0
62,"69-81",417.0,489.0
63,"143-86",861.0,519.0
64,"60-5",363.0,33.0
65,"16-105",99.0,633.0
66,"132-13",795.0,81.0
67,"20-48",123.0,291.0
68,"140-43",843.0,261.0
69,"21-90",129.0,543.0
70,"88-128",531.0,771.0
71,"162-161",975.0,969.0
72,"83-26",501.0,159.0
73,"121-30",729.0,183.0
74,"151-20",909.0,123.0
75,"9-64",57.0,387.0
76,"54-77",327.0,465.0
77,"122-88",735.0,531.0
78,"146-58",879.0,351.0
79,"51-38",309.0,231.0
80,"161-152",969.0,915.0
81,"56-33",339.0,201.0
82,"77-2",465.0,15.0
83,"56-139",339.0,837.0
84,"127-18",765.0,111.0
85,"124-60",747.0,363.0
86,"90-39",543.0,237.0
87,"107-117",645.0,705.0
88,"61-146",369.0,879.0
89,"85-132",513.0,795.0
90,"22-111",135.0,669.0
91,"2-162",15.0,975.0
92,"125-15",753.0,93.0
93,"90-9",543.0,57.0
94,"107-95",645.0,573.0
95,"146-66",879.0,399.0
96,"139-58",837.0,351.0
97,"109-22",657.0,135.0
98,"92-97",555.0,585.0
99,"8-93",51.0,561.0
100,"86-62",519.0,375.0
101,"5-128",33.0,771.0
102,"155-57",933.0,345.0
103,"134-163",807.0,981.0
104,"123-99",741.0,597.0
105,"28-15",171.0,93.0
106,"63-112",381.0,675.0
107,"57-49",345.0,297.0
108,"162-27",975.0,165.0
109,"49-2",297.0,15.0
110,"130-165",783.0,993.0
111,"29-130",177.0,783.0
112,"87-150",525.0,903.0
113,"64-146",387.0,879.0
114,"87-1",525.0,9.0
115,"116-6",699.0,39.0
116,"122-126",735.0,759.0
117,"75-85",453.0,513.0
118,"53-125",321.0,753.0
119,"19-103",117.0,621.0
120,"57-24",345.0,147.0
121,"33-101",201.0,609.0
122,"50-128",303.0,771.0
123,"84-155",507.0,933.0
124,"10-122",63.0,735.0
125,"115-55",693.0,333.0
126,"81-113",489.0,681.0
127,"140-111",843.0,669.0
128,"3-89",21.0,537.0
129,"118-85",711.0,513.0
130,"74-7",447.0,45.0
131,"98-159",591.0,957.0
132,"155-35",933.0,213.0
133,"143-135",861.0,813.0
134,"1-22",9.0,135.0
135,"117-55",705.0,333.0
136,"25-164",153.0,987.0
137,"52-152",315.0,915.0
138,"11-82",69.0,495.0
139,"67-162",405.0,975.0
140,"84-122",507.0,735.0
141,"159-155",957.0,933.0
142,"8-125",51.0,753.0
143,"76-46",459.0,279.0
144,"101-51",609.0,309.0
145,"17-62",105.0,375.0
146,"162-133",975.0,801.0
147,"161-83",969.0,501.0
148,"19-104",117.0,627.0
149,"31-49",189.0,297.0
150,"112-11",675.0,69.0
151,"156-142",939.0,855.0
152,"120-102",723.0,615.0
153,"42-135",255.0,813.0
154,"115-17",693.0,105.0
155,"87-92",525.0,555.0
156,"34-8",207.0,51.0
157,"81-38",489.0,231.0
158,"123-162",741.0,975.0
159,"48-122",291.0,735.0
160,"163-137",981.0,825.0
161,"48-11",291.0,69.0
162,"108-124",651.0,747.0
163,"96-31",579.0,189.0
164,"46-84",279.0,507.0
165,"45-46",273.0,279.0
166,"159-121",957.0,729.0
167,"52-131",315.0,789.0
168,"137-66",825.0,399.0
169,"159-52",957.0,315.0
170,"85-37",513.0,225.0
171,"129-61",777.0,369.0
172,"76-140",459.0,843.0
173,"12-158",75.0,951.0
174,"45-148",273.0,891.0
175,"162-131",975.0,789.0
176,"78-112",471.0,675.0
177,"100-5",603.0,33.0
178,"57-104",345.0,627.0
179,"121-102",729.0,615.0
180,"17-41",105.0,249.0
181,"95-17",573.0,105.0
182,"40-123",243.0,741.0
183,"66-34",399.0,207.0
184,"43-12",261.0,75.0
185,"162-118",975.0,711.0
186,"14-65",87.0,393.0
187,"18-153",111.0,921.0
188,"61-125",369.0,753.0
189,"1-80",9.0,483.0
190,"38-48",231.0,291.0
191,"65-5",393.0,33.0
192,"30-130",183.0,783.0
193,"34-67",207.0,405.0
194,"118-136",711.0,819.0
195,"69-86",417.0,519.0
196,"3-87",21.0,525.0
197,"130-28",783.0,171.0
198,"37-81",225.0,489.0
199,"13-50",81.0,303.0
200,"137-83",825.0,501.0
201,"19-72",117.0,435.0
202,"92-23",555.0,141.0
203,"102-67",615.0,405.0
204,"56-10",339.0,63.0
205,"22-72",135.0,435.0
206,"93-88",561.0,531.0
207,"22-151",135.0,909.0
208,"146-109",879.0,657.0
209,"1-51",9.0,309.0
210,"96-142",579.0,855.0
211,"95-72",573.0,435.0
212,"56-159",339.0,957.0
213,"23-125",141.0,753.0
214,"141-93",849.0,561.0
215,"94-63",567.0,381.0
216,"104-104",627.0,627.0
